propertyState,countyCode,Year,totalPremium,totalPolicies
AL,1089.0,2018,3050088,4844
AL,1089.0,2019,3107183,4614
AL,1089.0,2020,3129735,4406
AL,1089.0,2021,3436878,4309
AL,1089.0,2022,3344043,4090
AL,1089.0,2023,3274944,3765
AL,1089.0,2024,3630521,3664
AL,1091.0,2015,96566,112
AL,1091.0,2016,92078,112
AL,1091.0,2017,93279,113
AL,1091.0,2018,85394,101
AL,1091.0,2019,92103,102
AL,1091.0,2020,82541,93
AL,1091.0,2021,92784,100
AL,1091.0,2022,64984,87
AL,1091.0,2023,68085,79
AL,1091.0,2024,72881,79
AL,1093.0,2015,18844,32
AL,1093.0,2016,19996,33
AL,1093.0,2017,29529,35
AL,1093.0,2018,30414,36
AL,1093.0,2019,62437,37
AL,1093.0,2020,31498,30
AL,1093.0,2021,32555,28
AL,1093.0,2022,30774,28
AL,1093.0,2023,34348,29
AL,1093.0,2024,35765,26
AL,1095.0,2015,99109,154
AL,1095.0,2016,122683,157
AL,1095.0,2017,92200,128
AL,1095.0,2018,107322,131
AL,1095.0,2019,100828,121
AL,1095.0,2020,92207,120
AL,1095.0,2021,101393,105
AL,1095.0,2022,98867,100
AL,1095.0,2023,92900,95
AL,1095.0,2024,102564,96
AL,1097.0,2015,7952347,8683
AL,1097.0,2016,8222733,8662
AL,1097.0,2017,8024196,8694
AL,1097.0,2018,8280890,8410
AL,1097.0,2019,8598984,8376
AL,1097.0,2020,8710168,8606
AL,1097.0,2021,8727236,8240
AL,1097.0,2022,7561208,7948
AL,1097.0,2023,7875926,7572
AL,1097.0,2024,8561052,7337
AL,1099.0,2015,9498,19
AL,1099.0,2016,9726,18
AL,1099.0,2017,12099,19
AL,1099.0,2018,10225,19
AL,1099.0,2019,11062,20
AL,1099.0,2020,9782,19
AL,1099.0,2021,11736,19
AL,1099.0,2022,9941,13
AL,1099.0,2023,9611,12
AL,1099.0,2024,7807,9
AL,1101.0,2015,1295345,1821
AL,1101.0,2016,1212582,1737
AL,1101.0,2017,1105005,1648
AL,1101.0,2018,1094652,1542
AL,1101.0,2019,1165609,1482
AL,1101.0,2020,1003100,1261
AL,1101.0,2021,1007331,1257
AL,1101.0,2022,913857,1177
AL,1101.0,2023,887980,1062
AL,1101.0,2024,910552,1001
AL,1103.0,2015,474692,795
AL,1103.0,2016,495085,798
AL,1103.0,2017,527346,823
AL,1103.0,2018,569157,901
AL,1103.0,2019,524510,749
AL,1103.0,2020,538686,715
AL,1103.0,2021,562806,683
AL,1103.0,2022,523643,637
AL,1103.0,2023,515512,584
AL,1103.0,2024,543698,566
AL,1105.0,2020,263,1
AL,1105.0,2021,294,1
AL,1105.0,2022,290,1
AL,1105.0,2023,294,1
AL,1105.0,2024,301,1
AL,1107.0,2015,96843,112
AL,1107.0,2016,79509,87
AL,1107.0,2017,86848,89
AL,1107.0,2018,91597,93
AL,1107.0,2019,92501,84
AL,1107.0,2020,85152,76
AL,1107.0,2021,80350,76
AL,1107.0,2022,67372,74
AL,1107.0,2023,71793,74
AL,1107.0,2024,73017,72
AL,1109.0,2015,9437,14
AL,1109.0,2016,22289,22
AL,1109.0,2017,13332,20
AL,1109.0,2018,13728,19
AL,1109.0,2019,13585,16
AL,1109.0,2020,16161,23
AL,1109.0,2021,19888,19
AL,1109.0,2022,17600,18
AL,1109.0,2023,15223,16
AL,1109.0,2024,16757,17
AL,1111.0,2015,10993,14
AL,1111.0,2016,7027,13
AL,1111.0,2017,8389,13
AL,1111.0,2018,8683,12
AL,1111.0,2019,7374,10
AL,1111.0,2020,7954,11
AL,1111.0,2021,11350,15
AL,1111.0,2022,10832,14
AL,1111.0,2023,13182,15
AL,1111.0,2024,12047,14
AL,1113.0,2015,111163,157
AL,1113.0,2016,115248,152
AL,1113.0,2017,113834,141
AL,1113.0,2018,162051,141
AL,1113.0,2019,150618,121
AL,1113.0,2020,162296,120
AL,1113.0,2021,143894,104
AL,1113.0,2022,106223,94
AL,1113.0,2023,90452,82
AL,1113.0,2024,100892,80
AL,1115.0,2015,389076,689
AL,1115.0,2016,403246,727
AL,1115.0,2017,345899,613
AL,1115.0,2018,366354,596
AL,1115.0,2019,355228,570
AL,1115.0,2020,344672,535
AL,1115.0,2021,324358,474
AL,1115.0,2022,318884,445
AL,1115.0,2023,314099,401
AL,1115.0,2024,311316,368
AL,1117.0,2015,671219,946
AL,1117.0,2016,699555,955
AL,1117.0,2017,690387,932
AL,1117.0,2018,737279,897
AL,1117.0,2019,738725,859
AL,1117.0,2020,683514,788
AL,1117.0,2021,708847,804
AL,1117.0,2022,764314,780
AL,1117.0,2023,746004,688
AL,1117.0,2024,780957,652
AL,1119.0,2015,30329,47
AL,1119.0,2016,37078,52
AL,1119.0,2017,35265,43
AL,1119.0,2018,34439,39
AL,1119.0,2019,33169,35
AL,1119.0,2020,36234,38
AL,1119.0,2021,33326,33
AL,1119.0,2022,25766,38
AL,1119.0,2023,39240,47
AL,1119.0,2024,38937,43
AL,1121.0,2015,455436,585
AL,1121.0,2016,485062,634
AL,1121.0,2017,422436,560
AL,1121.0,2018,430175,544
AL,1121.0,2019,441234,549
AL,1121.0,2020,434510,522
AL,1121.0,2021,469589,537
AL,1121.0,2022,492193,522
AL,1121.0,2023,475871,480
AL,1121.0,2024,500079,464
AL,1123.0,2015,91097,152
AL,1123.0,2016,76411,140
AL,1123.0,2017,64804,120
AL,1123.0,2018,70417,111
AL,1123.0,2019,77103,117
AL,1123.0,2020,80088,122
AL,1123.0,2021,84667,104
AL,1123.0,2022,82498,95
AL,1123.0,2023,77534,88
AL,1123.0,2024,110549,102
AL,1125.0,2015,868897,1182
AL,1125.0,2016,783471,1119
AL,1125.0,2017,749030,1051
AL,1125.0,2018,696021,1006
AL,1125.0,2019,682088,941
AL,1125.0,2020,692158,898
AL,1125.0,2021,761784,915
AL,1125.0,2022,711835,849
AL,1125.0,2023,704029,780
AL,1125.0,2024,748726,747
AL,1127.0,2015,144925,164
AL,1127.0,2016,149539,150
AL,1127.0,2017,131999,144
AL,1127.0,2018,124437,134
AL,1127.0,2019,121156,126
AL,1127.0,2020,121220,123
AL,1127.0,2021,117472,116
AL,1127.0,2022,120442,112
AL,1127.0,2023,121735,104
AL,1127.0,2024,130404,99
AL,1129.0,2015,10695,22
AL,1129.0,2016,8401,20
AL,1129.0,2017,7474,17
AL,1129.0,2018,8946,15
AL,1129.0,2019,8791,14
AL,1129.0,2020,8680,12
AL,1129.0,2021,9070,11
AL,1129.0,2022,15519,14
AL,1129.0,2023,16010,14
AL,1129.0,2024,17525,14
AL,1131.0,2015,43108,78
AL,1131.0,2016,43656,73
AL,1131.0,2017,49439,72
AL,1131.0,2018,57086,73
AL,1131.0,2019,49701,69
AL,1131.0,2020,35665,61
AL,1131.0,2021,42208,64
AL,1131.0,2022,43645,62
AL,1131.0,2023,51945,58
AL,1131.0,2024,51723,53
AL,1133.0,2015,63058,87
AL,1133.0,2016,56569,82
AL,1133.0,2017,56414,76
AL,1133.0,2018,58589,69
AL,1133.0,2019,55468,69
AL,1133.0,2020,57363,67
AL,1133.0,2021,56558,52
AL,1133.0,2022,48762,49
AL,1133.0,2023,40705,43
AL,1133.0,2024,45713,44
AL,12033.0,2015,247,1
AL,12033.0,2016,247,1
AL,12033.0,2017,263,1
AL,12033.0,2018,263,1
AL,12033.0,2019,265,1
AL,13285.0,2016,1859,1
AL,13285.0,2017,2301,1
AL,13285.0,2018,2855,1
AL,13285.0,2019,3560,1
AL,13285.0,2020,4962,2
